GO.id	GO.tree	GO.term	hit_genes	p_value	p_adj	freq_foreground	freq_background	freq_back_minus_fore	freq_fore_non_GOid	freq_back_non_GOid	frac_genes_GOid	fold_enrich	num_genes_back
GO:0016226	BP	iron-sulfur cluster assembly		1.93708192295639e-09	2.20827339217028e-07	8	17	9	61	2703	0.115942028985507	18.4961636828645	17
GO:0033212	BP	iron import into cell		3.98543139760431e-05	0.00113584794831723	4	9	5	65	2707	0.0579710144927536	17.4685990338164	9
GO:0019646	BP	aerobic electron transport chain		0.00010051852918323	0.00229182246537765	4	11	7	65	2705	0.0579710144927536	14.2924901185771	11
GO:0006541	BP	glutamine metabolic process		0.000749062956515742	0.00776301609479951	3	8	5	66	2707	0.0434782608695652	14.7391304347826	8
GO:0006879	BP	intracellular iron ion homeostasis		0.00253580126124337	0.0222370264447496	4	24	20	65	2692	0.0579710144927536	6.55072463768116	24
GO:0006508	BP	proteolysis		0.00274252208200444	0.0223319655248933	6	58	52	63	2660	0.0869565217391304	4.06596701649175	58
GO:0015794	BP	glycerol-3-phosphate transmembrane transport		0.00578147659694051	0.0387699018853658	2	5	3	67	2709	0.0289855072463768	15.7217391304348	5
GO:0097428	BP	protein maturation by iron-sulfur cluster transfer		0.00578147659694051	0.0387699018853658	2	5	3	67	2709	0.0289855072463768	15.7217391304348	5
GO:0009244	BP	lipopolysaccharide core region biosynthetic process		0.0106559186553123	0.0607387363352803	3	19	16	66	2696	0.0434782608695652	6.20594965675057	19
GO:0044205	BP	'de novo' UMP biosynthetic process		0.0117563515708586	0.0609192763217216	2	7	5	67	2707	0.0289855072463768	11.2298136645963	7
GO:0050821	BP	protein stabilization		0.0117563515708586	0.0609192763217216	2	7	5	67	2707	0.0289855072463768	11.2298136645963	7
GO:0006979	BP	response to oxidative stress		0.0135725895131015	0.0644698001872321	4	38	34	65	2678	0.0579710144927536	4.13729977116705	38
GO:0006826	BP	iron ion transport		0.0154254477756395	0.070340041856916	2	8	6	67	2706	0.0289855072463768	9.82608695652174	8
