Comb	eps.med	eps.q1	eps.q3	iqr	fit.comb.med	type	cumeps_quartiles	Comb_id	drugv_flag_cb	fit_vert	drugh_flag_cb	fit_hzt	Time_h	Well	OD	Drug_h	Conc_h	Conch_flag	DRUGH_FLAG	Drug_v	DRUGV_FLAG	Conc_v	Concv_flag	Comb_flags	Well_letter	Well_number	Time_points	replicate	mean_1sttp	OD_no1st	meanODno1st	ODnorm_bug_rob	drugHf_drugVf_cb	fit_comb	exp_fit	bliss	cumBliss	ratio	source	fullname	cumepsquart_comb	comb_eps	Drugclass
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_1_6	0.950653593324903	14.7833333333333	D17	0.4426	8OHQUI	1	1	8OHQUI_1	Nitroxoline	NX_7	0.1357	7	8OHQUI_1_NX_7	D	17	27	1_1	0.1668	0.2358	0.256349948825903	0.9198363451211	8OHQUI_1_6_NX_7_6	0.9198363451211	0.950653593324903	-0.0308172482038028	-0.072	0.1357	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_5_6	1	14.7833333333333	D18	0.5293	8OHQUI	0.25	5	8OHQUI_5	Nitroxoline	NX_7	0.1357	7	8OHQUI_5_NX_7	D	18	27	1_1	0.1562	0.3331	0.256349948825903	1	8OHQUI_5_6_NX_7_6	1	1	0	-0.072	0.5428	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_2_6	0.985761850772273	14.7833333333333	D19	0.4524	8OHQUI	0.86	2	8OHQUI_2	Nitroxoline	NX_7	0.1357	7	8OHQUI_2_NX_7	D	19	27	1_1	0.158	0.2544	0.256349948825903	0.992393410512332	8OHQUI_2_6_NX_7_6	0.992393410512332	0.985761850772273	0.0066315597400588	-0.072	0.157790697674419	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_6_6	1	14.7833333333333	D20	0.543	8OHQUI	0.215	6	8OHQUI_6	Nitroxoline	NX_7	0.1357	7	8OHQUI_6_NX_7	D	20	27	1_1	0.1621	0.3409	0.256349948825903	1	8OHQUI_6_6_NX_7_6	1	1	0	-0.072	0.631162790697674	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_3_6	0.934269739849463	14.7833333333333	D21	0.5212	8OHQUI	0.5	3	8OHQUI_3	Nitroxoline	NX_7	0.1357	7	8OHQUI_3_NX_7	D	21	27	1_1	0.1724	0.3088	0.256349948825903	1	8OHQUI_3_6_NX_7_6	1	0.934269739849463	0.0657302601505366	-0.072	0.2714	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_7_6	0.936610290345955	14.7833333333333	D22	0.5524	8OHQUI	0.125	7	8OHQUI_7	Nitroxoline	NX_7	0.1357	7	8OHQUI_7_NX_7	D	22	27	1_1	0.1751	0.3373	0.256349948825903	1	8OHQUI_7_6_NX_7_6	1	0.936610290345955	0.0633897096540453	-0.072	1.0856	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_7_6	1	8OHQUI_4_6	0.901502032898584	14.7833333333333	D23	0.5386	8OHQUI	0.43	4	8OHQUI_4	Nitroxoline	NX_7	0.1357	7	8OHQUI_4_NX_7	D	23	27	1_1	0.2152	0.2834	0.256349948825903	1	8OHQUI_4_6_NX_7_6	1	0.901502032898584	0.0984979671014156	-0.072	0.315581395348837	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_6_6	1	8OHQUI_1_6	0.950653593324903	14.7833333333333	F17	0.3778	8OHQUI	1	1	8OHQUI_1	Nitroxoline	NX_6	0.2548	6	8OHQUI_1_NX_6	F	17	27	1_1	0.1851	0.1527	0.256349948825903	0.595670101357048	8OHQUI_1_6_NX_6_6	0.595670101357048	0.950653593324903	-0.354983491967855	-0.072	0.2548	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_6_6	1	8OHQUI_5_6	1	14.7833333333333	F18	0.4786	8OHQUI	0.25	5	8OHQUI_5	Nitroxoline	NX_6	0.2548	6	8OHQUI_5_NX_6	F	18	27	1_1	0.1989	0.2397	0.256349948825903	0.935049923348294	8OHQUI_5_6_NX_6_6	0.935049923348294	1	-0.0649500766517063	-0.072	1.0192	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
8OHQUI_NX	-0.0237584010063355	-0.0996713137274956	0.0592698147696886	0.158941128497184	0.488199824393153	neutral	-0.0237584010063355	6	NX_6_6	1	8OHQUI_2_6	0.985761850772273	14.7833333333333	F19	0.3884	8OHQUI	0.86	2	8OHQUI_2	Nitroxoline	NX_6	0.2548	6	8OHQUI_2_NX_6	F	19	27	1_1	0.1943	0.1541	0.256349948825903	0.601131385848861	8OHQUI_2_6_NX_6_6	0.601131385848861	0.985761850772273	-0.384630464923412	-0.072	0.296279069767442	run220120	8-Hydroxyquinoline	-0.024	8OHQUI_NX -0.024	Other metal chelators
